State,County,Type,Mapping Zones,Impervious Cover %,Impervious Cover (m2/person),Tree Canopy Cover %,Tree Canopy Cover (m2/person),Total Green Space (ha),Canopy Green Space %,Available Green Space (ha)
Alabama,Sumter,County,46,0.003939758,617.8307879,0.581488143,91188.67739,231147.008,0.583788672,96206.5984
Alabama,Talladega,County,48,0.012937001,309.1159224,0.527416522,12602.05904,189436.0064,0.53432819,88216.1024
Alabama,Tallapoosa,County,54,0.005846568,261.9264617,0.66299032,29701.99031,184721.9968,0.666888659,61534.8992
Alabama,Tuscaloosa,County,46,0.014345378,297.7031084,0.661396999,13725.67116,337248.9984,0.6710235,110947.9936
Alabama,Walker,County,48,0.007370562,214.1840963,0.552952716,16068.47375,203973.0048,0.557059002,90348.4032
Alabama,Washington,County,46,0.003009727,464.504614,0.722007417,111430.6239,278458.0096,0.724188183,76802.2976
Alabama,Wilcox,County,46,0.001950013,338.6839111,0.70336144,122161.8776,228519.9872,0.704734869,67473.2992
Alabama,Winston,County,48,0.00658389,422.3282212,0.588753622,37766.01022,158307.9936,0.592655475,64486.0032
Arkansas,Arkansas,County,45,0.003576843,440.7913634,0.318924752,39302.61622,254784.9984,0.320069859,173235.9936
Arkansas,Ashley,County,37,0.014111416,1373.480937,0.414394498,40333.51167,232304,0.420325945,134703.0016
Arkansas,Baxter,County,44,0.011618578,432.371177,0.635811404,23660.94472,141189.0048,0.643285945,50368.0992
Arkansas,Benton,County,44,0.020536973,293.3307693,0.387046871,5528.212664,214610.9952,0.395161949,129806.0032
Arkansas,Boone,County,44,0.00996346,449.5139625,0.444827697,20068.95817,151634.9952,0.44930327,83505.4976
Arkansas,Bradley,County,37,0.011476646,1530.52381,0.589272644,78585.31556,166104.9984,0.596113895,67123.0016
Arkansas,Calhoun,County,37,0.013689238,3872.649721,0.599762727,169671.3092,160272,0.608086253,62856.6976
Arkansas,Carroll,County,44,0.007623722,490.3379737,0.484724872,31176.24325,161846.0032,0.488449504,82794.2976
Arkansas,Chicot,County,45,0.004634261,524.2671956,0.15765209,17834.95077,158962.9952,0.158386548,133785.9968
Arkansas,Clark,County,44,0.006655245,632.4173957,0.656965689,62428.43659,222257.9968,0.661366515,75288
Arkansas,Clay,County,45,0.004594416,428.3712874,0.187900358,17519.33579,163426.9952,0.18876807,132577.9968
Arkansas,Cleburne,County,44,0.008166176,487.353406,0.589068606,35155.32829,142333.0048,0.593920591,57805.7984
Arkansas,Cleveland,County,37,0.008896773,1604.036869,0.625895208,112845.2913,153154.9952,0.631515146,56512.8
Arkansas,Columbia,County,37,0.011652463,896.9300473,0.625731066,48164.6657,194778.9952,0.633107248,71484.4032
Arkansas,Conway,County,44,0.007958079,562.2442958,0.456428962,32247.04957,142531.9936,0.460090386,76958.5024
Arkansas,Craighead,County,45,0.01421329,315.905439,0.133434916,2965.732483,179987.9936,0.135358469,155625.9968
Arkansas,Crawford,County,44,0.012654547,364.3416531,0.507084004,14599.63957,151365.0048,0.513584371,73627.5968
Arkansas,Crittenden,County,45,0.013441497,416.7793811,0.092932536,2881.55137,155600,0.094198581,140943.0016
Arkansas,Cross,County,45,0.005172988,419.2123323,0.136336692,11048.55065,157417.9968,0.137045322,135843.9936
Arkansas,Dallas,County,37,0.011610328,2176.568947,0.635370427,119111.8384,170654.0032,0.642832873,61116.6016
Arkansas,Desha,County,45,0.003878754,497.8554201,0.254479024,32663.51659,196144.9984,0.255469684,146035.9936
Arkansas,Drew,County,37,0.010492958,1202.13641,0.450286361,51587.51397,212250.9952,0.455061717,115702.0032
Arkansas,Faulkner,County,44,0.017821904,347.8259353,0.362634493,7077.452508,164880,0.369213974,104006.0032
Arkansas,Franklin,County,44,0.008049461,714.1747791,0.452095585,40111.41568,156400.9984,0.455764334,85121.7024
Arkansas,Fulton,County,44,0.004383245,601.8467617,0.512532597,70373.90414,159151.0016,0.514789718,77222.4
Arkansas,Garland,County,44,0.018361631,366.2783304,0.683470915,13633.89672,172453.0048,0.696253462,52383.9008
Arkansas,Grant,County,37,0.012591236,1250.382653,0.631148974,62676.75024,161438.0032,0.639198947,58346.2976
Arkansas,Greene,County,45,0.007604248,300.0750047,0.225462377,8897.082639,146192.9984,0.227190765,112979.9936
Arkansas,Hempstead,County,44,0.009284084,742.578539,0.488626641,39082.33383,186906.9952,0.493205194,94731.5968
Arkansas,Hot,Spring,44,0.012504462,655.6090008,0.598967734,31403.88047,157151.0016,0.606551644,61912.8
Arkansas,Howard,County,44,0.006824205,725.8601399,0.551551045,58666.01622,151064.9984,0.555339781,67172.9024
Arkansas,Independence,County,44,0.00918739,530.479362,0.448805953,25914.03056,195845.0048,0.452967901,107136
Arkansas,Izard,County,44,0.005957422,675.9868669,0.564424351,64045.0594,149440,0.56780848,64589.1008
Arkansas,Jackson,County,45,0.006108029,540.667282,0.154540078,13679.49788,162035.9936,0.155489522,136840.9984
Arkansas,Jefferson,County,45,0.02319993,622.850566,0.300676368,8072.284962,221012.992,0.307817213,153023.0016
Arkansas,Johnson,County,44,0.00763968,577.0159343,0.617422153,46633.15991,170748.0064,0.622174184,64519.2
Arkansas,Lafayette,County,37,0.009267209,1462.974647,0.486615823,76819.95747,133864.9984,0.491167986,68121.2032
Arkansas,Lawrence,County,45,0.007513011,640.7505345,0.256362764,21864.0153,150448,0.258302542,111586.9952
Arkansas,Lee,County,45,0.002506648,309.7599364,0.165169567,20410.88967,155068.0064,0.165584764,129391.0016
Arkansas,Lincoln,County,45,0.005998724,597.3226608,0.319749928,31839.08363,143438.0032,0.32168044,97318.4
Arkansas,Little,River,44,0.005637442,574.6323745,0.483900895,49324.69856,138128.9984,0.486644369,70912.9984
Arkansas,Logan,County,44,0.007858739,644.5343769,0.480298373,39391.66699,182969.9968,0.484101787,94395.5008
Arkansas,Lonoke,County,45,0.007224245,269.7092451,0.210562897,7861.134247,195802.9952,0.212094815,154274.9952
Arkansas,Madison,County,44,0.003865178,588.1415432,0.59047451,89849.04416,215889.9968,0.592764813,87918.8992
Arkansas,Marion,County,44,0.005109152,491.1276332,0.627080333,60279.36753,154355.9936,0.63030205,57068.3008
Arkansas,Miller,County,37,0.019091346,751.8903148,0.359385309,14153.96959,156239.0016,0.366380344,99009.7024
Arkansas,Mississippi,County,45,0.008965078,398.8764693,0.065121049,2897.381789,229193.0112,0.065710122,214133.0048
Arkansas,Monroe,County,45,0.003701427,566.4462649,0.315281518,48248.97523,156341.0048,0.316452483,106865.9968
Arkansas,Montgomery,County,44,0.003875017,848.8015143,0.720015506,157715.5219,201721.9968,0.722816561,55915.5968
Arkansas,Nevada,County,37,0.009377007,1509.603214,0.583941278,94008.63887,158762.9952,0.589467337,65202.5984
Arkansas,Newton,County,44,0.002299975,569.402881,0.764885957,189362.2156,212616.9984,0.766650815,49618
Arkansas,Ouachita,County,37,0.016674613,1095.123307,0.633631697,41614.44946,185928.9984,0.644375009,66189.7984
Arkansas,Perry,County,44,0.004814286,672.1441865,0.664287969,92744.24371,141846.0032,0.667502758,47165.6992
Arkansas,Phillips,County,45,0.00445433,302.2817168,0.155155759,10529.24999,178663.0016,0.155849848,150817.9968
Arkansas,Pike,County,44,0.005858526,808.4048483,0.628989096,86792.79908,155054.0032,0.632695053,56952.3008
Arkansas,Poinsett,County,45,0.005907504,442.0629343,0.124761395,9335.988131,190538.9952,0.125502919,166625.9968
Arkansas,Polk,County,44,0.006009423,662.0495328,0.628349679,69224.37926,221520.9984,0.632147732,81489.4976
Arkansas,Pope,County,44,0.010453334,403.8260295,0.591699764,22858.1389,208221.0048,0.597951186,83723.2
Arkansas,Prairie,County,45,0.002809774,490.776811,0.26270115,45885.41692,166146.9952,0.263442015,122376.9984
Arkansas,Pulaski,County,44,0.069657481,381.3912149,0.445283283,2438.031482,184128.9984,0.478623682,96042.8032
Arkansas,Randolph,County,44,0.00483285,447.5493267,0.449055725,41585.10712,167681.9968,0.451235695,92018.5984
Arkansas,Saline,County,44,0.017471321,391.1695339,0.637836392,14280.66956,183747.9936,0.649177183,64490.4
Arkansas,Scott,County,44,0.004277864,901.6797017,0.695076781,146506.9072,230780.0064,0.69806305,69686.2976
Arkansas,Searcy,County,44,0.003347301,700.3655732,0.62036823,129801.4749,172269.0048,0.622450908,65041.7024
Arkansas,Sebastian,County,44,0.032684621,393.8855142,0.354005044,4266.148865,134141.0048,0.365965662,85050.0992
Arkansas,Sevier,County,44,0.007252721,672.6851558,0.546549104,50692.07387,145085.0048,0.550542773,65211.0976
Arkansas,Sharp,County,44,0.005929465,541.6642327,0.608607257,55597.05684,155456.9984,0.612237484,60282.2016
Arkansas,St.,Francis,45,0.006532425,363.7150943,0.177640763,9890.757135,162232,0.178809369,133224
Arkansas,Stone,County,44,0.004519015,617.1536655,0.675274923,92221.06131,156329.9968,0.678340693,50287.3984
Arkansas,Union,County,37,0.019274376,1133.274891,0.60836867,35770.23384,263114.0096,0.620324247,99992.9024
Arkansas,Van,Buren,44,0.005430473,618.7685277,0.666701923,75966.52964,183496,0.670341614,60503.8016
Arkansas,Washington,County,44,0.018024052,281.0759915,0.431008804,6721.364689,241516.0064,0.438919162,135510.0032
Arkansas,White,County,44,0.00992768,394.5358446,0.362934823,14423.39028,264270.0032,0.366574714,167402.9952
Arkansas,Woodruff,County,45,0.002961974,512.8852534,0.175786712,30438.62258,150908.0064,0.176308737,124301.0048
Arkansas,Yell,County,44,0.005633794,643.2139647,0.590216481,67385.4029,239985.9968,0.593559646,97541.4976
Arizona,Apache,County,24,0.002694882,1126.721692,0.19971794,83501.43048,2894730.035,0.200257701,2315070.054
Arizona,Cochise,County,25,0.002440232,333.6248992,0.065204127,8914.611116,1606000.026,0.065363637,1501029.99
Arizona,Coconino,County,15,0.002461274,1020.735901,0.126870517,52615.54443,4812129.894,0.127183602,4200149.811
Arizona,Gila,County,15,0.002697832,649.9172105,0.230902393,55625.20697,1233340.006,0.231527396,947795.0464
Arizona,Graham,County,25,0.002422657,868.255248,0.115443038,41373.58727,1197300.019,0.115723715,1058749.952
Arizona,Greenlee,County,15,0.003012078,1687.118287,0.271287143,151952.7282,477291.008,0.272106523,347420.0064
Arizona,La,Paz,14,0.003059577,1808.556936,0.004581956,2708.455491,1161810.022,0.004596035,1156480
Arizona,Maricopa,County,14,0.035977379,278.9526159,0.014656039,113.6364154,2296309.965,0.015203,2261440.102
Arizona,Mohave,County,15,0.004028469,897.6340368,0.036889954,8219.915579,3440549.888,0.037039136,3313120.051
Arizona,Navajo,County,24,0.00221708,586.44506,0.123950746,32786.49808,2572489.933,0.124225947,2252940.083
Arizona,Pima,County,14,0.009722349,274.203374,0.028320955,798.7474524,2356519.936,0.02859895,2289120.051
Arizona,Pinal,County,14,0.006344511,490.829981,0.018496271,1430.925793,1381600.051,0.018614359,1355880.038
Arizona,Santa,Cruz,25,0.002652747,221.532008,0.125718,10498.7622,319670.9888,0.126052412,279376
Arizona,Yavapai,County,15,0.003862827,484.9412537,0.122938615,15433.77706,2094889.984,0.123415552,1836379.955
Arizona,Yuma,County,14,0.00456287,407.1950808,0.003903597,348.3608914,1421570.048,0.003921495,1416000
California,Alameda,County,4,0.179302869,228.9565677,0.099281771,126.7755144,151299.9936,0.120972251,132997.0048
California,Alpine,County,6,0.002082835,3295.67053,0.299560167,473994.2252,190744,0.300185077,133485.0048
California,Amador,County,6,0.009091567,399.7578348,0.397509128,17478.54769,152931.9936,0.401156756,91583.5008
California,Butte,County,6,0.014411618,303.2671986,0.410076096,8629.331706,421376,0.41607257,246081.9968
California,Calaveras,County,6,0.006407623,416.1167826,0.434384198,28209.30118,261674.0096,0.437185184,147274.9952
California,Colusa,County,5,0.005818567,921.5751968,0.056123737,8889.172516,296095.0016,0.056452152,279380.992
California,Contra,Costa,4,0.123906873,242.5665334,0.110479874,216.281142,162729.9968,0.126105212,142209.9968
California,Del,Norte,3,0.004730123,447.8532737,0.560272604,53047.22609,259206.9888,0.562936229,113292.0064
California,El,Dorado,6,0.010010773,284.1860792,0.538570939,15288.96487,439260.0064,0.544017185,200305.9968
California,Fresno,County,5,0.017165039,331.9272811,0.158160046,3058.404642,1519310.029,0.160922395,1274819.994
California,Glenn,County,5,0.006231587,804.2566061,0.117760148,15198.27619,339278.0032,0.118498693,299075.9936
California,Humboldt,County,3,0.004331892,315.9637364,0.551208145,40204.55739,918811.9552,0.553606226,410159.0016
California,Imperial,County,13,0.010285279,780.2698773,0.004424624,335.664262,1068879.974,0.004470614,1064120.013
California,Inyo,County,13,0.002012002,2967.222067,0.017290688,25499.63823,2641130.086,0.017325576,2595380.019
California,Kern,County,5,0.014448777,460.4584029,0.068252044,2175.078757,2078090.035,0.069252533,1934169.907
California,Kings,County,5,0.019343414,534.8290528,0.01430596,395.5476939,351024.9984,0.014588135,345904
California,Lake,County,3,0.004851646,271.6716116,0.248355248,13906.84141,324922.0096,0.249565739,243832.0128
California,Lassen,County,6,0.003211791,1121.588625,0.153706909,53675.94939,1177509.99,0.154202515,995937.9968
California,Los,Angeles,4,0.153180764,169.6283872,0.089817293,99.46132977,892672,0.106064267,797991.9872
California,Madera,County,6,0.006608869,297.6232444,0.21784678,9810.49314,550744.0128,0.219296074,429968.9984
California,Marin,County,3,0.041530877,226.3036366,0.259308245,1412.982413,129152.9984,0.270543473,94219.0976
California,Mariposa,County,6,0.002103408,462.4179802,0.361324192,79434.32668,375797.9904,0.362085496,239726.0032
California,Mendocino,County,3,0.003091474,324.897699,0.459723246,48314.49584,903797.0432,0.461148885,487013.0176
California,Merced,County,5,0.012429859,297.5175014,0.021150612,506.2549275,497712.0256,0.021416802,487051.9808
California,Modoc,County,7,0.002081009,2306.498042,0.117403547,130124.8759,1045109.965,0.117647902,922151.0144
California,Mono,County,12,0.00300468,1841.577842,0.123678851,75803.15755,785396.992,0.124051657,687971.9936
California,Monterey,County,4,0.013949119,296.7801833,0.153460781,3265.017597,842861.9776,0.15563165,711685.9904
California,Napa,County,3,0.019957076,310.4514842,0.204792454,3185.743303,189470.0032,0.208962361,149878.0032
California,Nevada,County,6,0.010754451,290.8771854,0.541368242,14642.46538,246245.9904,0.547253587,111489.9968
California,Orange,County,4,0.294309982,212.7745932,0.082011205,59.29089,145214.0032,0.116214004,128337.9968
California,Placer,County,6,0.02128105,312.8007762,0.493705001,7256.752177,357341.0048,0.504439726,177091.9936
California,Plumas,County,6,0.003351614,1067.892816,0.494647051,157604.6838,661272.0128,0.496310122,333075.9936
California,Riverside,County,13,0.027450431,331.5667907,0.026721471,322.7618713,1815390.003,0.027475749,1765660.058
California,Sacramento,County,5,0.11523755,235.70024,0.05608689,114.7168898,221409.9968,0.063391898,207409.9968
California,San,Benito,4,0.006055577,409.477026,0.088927795,6013.281136,357788.0064,0.089469463,325776
California,San,Bernardino,13,0.010616214,322.9706581,0.012172485,370.3161257,5145300.173,0.012303091,5082019.84
California,San,Diego,4,0.068510734,266.3299492,0.079215628,307.9443592,1018910.003,0.085042251,932264.0384
California,San,Francisco,4,0.607120028,94.03488715,0.06101257,9.450042679,4726.57,0.155295701,3992.58
California,San,Joaquin,5,0.047096397,301.9616677,0.118146006,757.5009422,344336,0.123985298,301669.9904
California,San,Luis,4,0.008194892,284.5476384,0.094289628,3273.977453,849520.0256,0.095068746,768758.016
California,San,Mateo,4,0.122221969,199.5458007,0.338010485,551.8531028,101344,0.385073603,62318.7008
California,Santa,Barbara,4,0.012723203,225.871976,0.176154598,3127.230324,699930.9824,0.178424742,575047.0144
California,Santa,Clara,4,0.116402221,229.6573332,0.18434464,363.7052464,293326.0032,0.208629643,232129.9968
California,Santa,Cruz,4,0.04488332,202.4397305,0.499761526,2254.102174,110111.0016,0.523247464,52496
California,Shasta,County,7,0.00584171,350.5604694,0.445983474,26763.42824,973975.04,0.448603923,537052.0064
California,Sierra,County,6,0.002821896,1962.73699,0.484211345,336787.6231,246565.9904,0.485581973,126838.0032
California,Siskiyou,County,7,0.003626225,1337.791472,0.412369232,152131.7836,1628430.029,0.413870417,954472.96
California,Solano,County,5,0.052580233,284.1928109,0.038856877,210.0189486,202034.9952,0.041013338,193760
California,Sonoma,County,3,0.028295454,251.9002909,0.31757531,2827.214311,396729.0112,0.326822599,267071.0016
California,Stanislaus,County,5,0.031149231,270.6416374,0.069920206,607.5051779,376277.9904,0.072168184,349124.992
California,Sutter,County,5,0.018306691,361.9105537,0.087170448,1723.299126,153183.0016,0.088795753,139583.0016
California,Tehama,County,5,0.003793782,517.5056657,0.207237667,28269.06233,761522.0224,0.208026812,603119.0016
California,Trinity,County,3,0.001089132,688.4303486,0.512695351,324070.0304,822211.9936,0.513254485,400208.9984
California,Tulare,County,6,0.008699996,295.5184623,0.231772155,7872.757,1239209.984,0.233805404,949473.9968
California,Tuolumne,County,6,0.003088385,327.3939928,0.39977494,42379.40706,575971.0208,0.401013242,344999.9872
California,Ventura,County,4,0.037891598,240.8812143,0.180575446,1147.93872,460673.024,0.187687135,374209.9968
California,Yolo,County,5,0.020289392,315.2336061,0.042799932,664.9768766,256728.0128,0.043686312,245518.0032
California,Yuba,County,6,0.00906566,246.4770255,0.347089839,9436.672944,162239.0016,0.350265351,105412.9984
Colorado,Adams,County,33,0.035499184,300.494425,0.003260144,27.59655579,297065.0112,0.003380136,296061.0048
Colorado,Alamosa,County,28,0.010377921,1291.674462,0.051455996,6404.403581,184338.9952,0.051995675,174755.9936
Colorado,Arapahoe,County,33,0.055591048,236.4032814,0.013140136,55.87898362,195974.0032,0.013913631,193248
Colorado,Archuleta,County,28,0.00244275,863.3360275,0.435891904,154056.3799,348967.9872,0.436959866,196485.0048
Colorado,Baca,County,33,0.00175779,2576.820899,0.003833446,5619.614789,661003.008,0.003840194,658464
Colorado,Bent,County,27,0.001576509,1032.934311,0.002690825,1763.037679,392370.9952,0.002695077,391313.9968
Colorado,Boulder,County,28,0.038021901,249.9639669,0.311485426,2047.770619,184217.9968,0.323796273,124570.9952
Colorado,Chaffee,County,28,0.005429712,877.6874769,0.316166072,51106.76222,261119.0016,0.317891853,178112.9984
Colorado,Cheyenne,County,33,0.001296888,2681.42537,0.000113297,234.2501121,460679.9872,0.000113444,460628.0192
Colorado,Clear,Creek,28,0.005936671,652.5101909,0.431798702,47459.77258,101852,0.434375368,57612.3008
Colorado,Conejos,County,28,0.003875187,1538.988095,0.216142972,85838.81143,332304,0.216983851,260199.9872
Colorado,Costilla,County,28,0.006502612,5636.063336,0.215553595,186828.5624,315422.0032,0.216964263,246987.008
Colorado,Crowley,County,27,0.001962938,727.767307,0.000502458,186.2885103,204181.0048,0.000503445,204078.0032
Colorado,Custer,County,28,0.002978496,1627.522124,0.30053128,164217.5324,190841.9968,0.301429468,133317.0048
Colorado,Delta,County,23,0.008110345,862.9230438,0.242047805,25753.35949,293745.9968,0.244026818,222064.9984
Colorado,Denver,County,33,0.334864559,239.3768165,0.045191217,32.30479089,26371.2992,0.067942804,24579.8
Colorado,Dolores,County,23,0.001146506,1718.714751,0.346578859,519552.59,276114.9952,0.3469768,180310.0032
Colorado,Douglas,County,27,0.022419185,277.4802863,0.239123083,2959.605475,212666.9952,0.24460684,160648
Colorado,Eagle,County,28,0.004917526,516.0061451,0.397038472,41662.06582,434987.008,0.399000423,261435.008
Colorado,El,Paso,27,0.02232833,237.8798636,0.092506947,985.5434692,538424.9856,0.09461968,487480.9856
Colorado,Elbert,County,27,0.00129348,311.8951288,0.012239366,2951.263084,478550.9888,0.012255225,472687.0016
Colorado,Fremont,County,28,0.005845274,502.8367104,0.301796124,25961.85901,394640,0.303570339,274838.9888
Colorado,Garfield,County,23,0.003717262,648.0441187,0.306708645,53469.66089,760587.008,0.307853,526443.9808
Colorado,Gilpin,County,28,0.008332414,680.8766029,0.546910393,44690.35106,38547.6,0.551505152,17291
Colorado,Grand,County,28,0.003084392,1185.54091,0.415927153,159868.996,476754.9952,0.417214307,277855.0016
Colorado,Gunnison,County,28,0.001966505,1182.459157,0.3878195,233195.7489,837524.0192,0.388583467,512077.0048
Colorado,Hinsdale,County,28,0.000808354,2963.56962,0.416420365,1526670.906,289393.9968,0.416757096,168786.9952
Colorado,Huerfano,County,27,0.002581012,1351.869753,0.186408177,97635.97253,410729.0112,0.186890625,333968
Colorado,Jackson,County,28,0.001422193,3765.11097,0.296535429,785047.5384,416900.992,0.296957789,293100.0064
Colorado,Jefferson,County,28,0.062540474,236.5744816,0.357193148,1351.169546,186903.0016,0.381022247,115697.9968
Colorado,Kiowa,County,27,0.001387797,3917.194821,6.68E-05,188.4340321,457189.9904,6.69E-05,457159.9872
Colorado,Kit,Carson,33,0.001833553,1281.100986,0.000484141,338.2686306,558701.0048,0.00048503,558430.0032
Colorado,La,Plata,28,0.003735474,372.7156869,0.382068662,38121.80005,436794.0096,0.383501142,269286.9888
Colorado,Lake,County,28,0.004701034,586.4989759,0.330642144,41250.76907,97004,0.332203835,64781.6
Colorado,Larimer,County,28,0.011222019,300.5459534,0.335189954,8976.993105,665987.9936,0.338994085,440225.9968
Colorado,Las,Animas,27,0.001524391,1239.067535,0.12048939,97937.13737,1234179.994,0.12067365,1085250.048
