Notes,State,County,County Code,Injury Intent,Injury Intent Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
, AL,Chambers County,1017,Homicide,3,57,662645,8.6,6.5,11.1,1.1,0.00%
, AL,Chambers County,1017,"Non-Injury, no intent classified",9,8254,662645,1245.6,1218.7,1272.5,13.7,0.00%
, AL,Cherokee County,1019,Unintentional,1,283,480944,58.8,52,65.7,3.5,0.00%
, AL,Cherokee County,1019,Suicide,2,99,480944,20.6,16.7,25.1,2.1,0.00%
, AL,Cherokee County,1019,Homicide,3,24,480944,5,3.2,7.4,1,0.00%
, AL,Cherokee County,1019,Undetermined ,4,16,480944,Unreliable,1.9,5.4,0.8,0.00%
, AL,Cherokee County,1019,"Non-Injury, no intent classified",9,5403,480944,1123.4,1093.5,1153.4,15.3,0.00%
, AL,Chilton County,1021,Unintentional,1,558,807006,69.1,63.4,74.9,2.9,0.00%
, AL,Chilton County,1021,Suicide,2,120,807006,14.9,12.2,17.5,1.4,0.00%
, AL,Chilton County,1021,Homicide,3,44,807006,5.5,4,7.3,0.8,0.00%
, AL,Chilton County,1021,"Non-Injury, no intent classified",9,7939,807006,983.8,962.1,1005.4,11,0.00%
, AL,Choctaw County,1023,Unintentional,1,200,271266,73.7,63.5,83.9,5.2,0.00%
, AL,Choctaw County,1023,Suicide,2,28,271266,10.3,6.9,14.9,2,0.00%
, AL,Choctaw County,1023,Homicide,3,28,271266,10.3,6.9,14.9,2,0.00%
, AL,Choctaw County,1023,"Non-Injury, no intent classified",9,2996,271266,1104.5,1064.9,1144,20.2,0.00%
, AL,Clarke County,1025,Unintentional,1,308,496992,62,55.1,68.9,3.5,0.00%
, AL,Clarke County,1025,Suicide,2,56,496992,11.3,8.5,14.6,1.5,0.00%
, AL,Clarke County,1025,Homicide,3,39,496992,7.8,5.6,10.7,1.3,0.00%
, AL,Clarke County,1025,"Non-Injury, no intent classified",9,5047,496992,1015.5,987.5,1043.5,14.3,0.00%
, AL,Clay County,1027,Unintentional,1,143,264370,54.1,45.2,63,4.5,0.00%
, AL,Clay County,1027,Suicide,2,37,264370,14,9.9,19.3,2.3,0.00%
, AL,Clay County,1027,Homicide,3,12,264370,Unreliable,2.3,7.9,1.3,0.00%
, AL,Clay County,1027,"Non-Injury, no intent classified",9,3242,264370,1226.3,1184.1,1268.5,21.5,0.00%
, AL,Cleburne County,1029,Unintentional,1,175,278629,62.8,53.5,72.1,4.7,0.00%
, AL,Cleburne County,1029,Suicide,2,57,278629,20.5,15.5,26.5,2.7,0.00%
, AL,Cleburne County,1029,Homicide,3,27,278629,9.7,6.4,14.1,1.9,0.00%
, AL,Cleburne County,1029,"Non-Injury, no intent classified",9,3003,278629,1077.8,1039.2,1116.3,19.7,0.00%
, AL,Coffee County,1031,Unintentional,1,387,909426,42.6,38.3,46.8,2.2,0.00%
, AL,Coffee County,1031,Suicide,2,117,909426,12.9,10.5,15.2,1.2,0.00%
, AL,Coffee County,1031,Homicide,3,30,909426,3.3,2.2,4.7,0.6,0.00%
, AL,Coffee County,1031,Undetermined ,4,12,909426,Unreliable,0.7,2.3,0.4,0.00%
, AL,Coffee County,1031,"Non-Injury, no intent classified",9,8563,909426,941.6,921.6,961.5,10.2,0.00%
, AL,Colbert County,1033,Unintentional,1,537,1035363,51.9,47.5,56.3,2.2,0.00%
, AL,Colbert County,1033,Suicide,2,155,1035363,15,12.6,17.3,1.2,0.00%
, AL,Colbert County,1033,Homicide,3,57,1035363,5.5,4.2,7.1,0.7,0.00%
, AL,Colbert County,1033,Undetermined ,4,19,1035363,Unreliable,1.1,2.9,0.4,0.00%
, AL,Colbert County,1033,"Non-Injury, no intent classified",9,11778,1035363,1137.6,1117,1158.1,10.5,0.00%
, AL,Conecuh County,1035,Unintentional,1,179,252529,70.9,60.5,81.3,5.3,0.00%
, AL,Conecuh County,1035,Suicide,2,42,252529,16.6,12,22.5,2.6,0.00%
, AL,Conecuh County,1035,Homicide,3,29,252529,11.5,7.7,16.5,2.1,0.00%
, AL,Conecuh County,1035,"Non-Injury, no intent classified",9,3005,252529,1190,1147.4,1232.5,21.7,0.00%
, AL,Coosa County,1037,Unintentional,1,149,215538,69.1,58,80.2,5.7,0.00%
, AL,Coosa County,1037,Suicide,2,43,215538,20,14.4,26.9,3,0.00%
, AL,Coosa County,1037,Homicide,3,20,215538,9.3,5.7,14.3,2.1,0.00%
, AL,Coosa County,1037,"Non-Injury, no intent classified",9,2355,215538,1092.6,1048.5,1136.7,22.5,0.00%
, AL,Covington County,1039,Unintentional,1,412,712542,57.8,52.2,63.4,2.8,0.00%
, AL,Covington County,1039,Suicide,2,95,712542,13.3,10.8,16.3,1.4,0.00%
, AL,Covington County,1039,Homicide,3,35,712542,4.9,3.4,6.8,0.8,0.00%
, AL,Covington County,1039,"Non-Injury, no intent classified",9,9119,712542,1279.8,1253.5,1306.1,13.4,0.00%
, AL,Crenshaw County,1041,Unintentional,1,152,263078,57.8,48.6,67,4.7,0.00%
, AL,Crenshaw County,1041,Suicide,2,38,263078,14.4,10.2,19.8,2.3,0.00%
, AL,Crenshaw County,1041,Homicide,3,25,263078,9.5,6.1,14,1.9,0.00%
, AL,Crenshaw County,1041,"Non-Injury, no intent classified",9,3200,263078,1216.4,1174.2,1258.5,21.5,0.00%
, AL,Cullman County,1043,Unintentional,1,921,1513843,60.8,56.9,64.8,2,0.00%
, AL,Cullman County,1043,Suicide,2,236,1513843,15.6,13.6,17.6,1,0.00%
, AL,Cullman County,1043,Homicide,3,43,1513843,2.8,2.1,3.8,0.4,0.00%
, AL,Cullman County,1043,Undetermined ,4,17,1513843,Unreliable,0.7,1.8,0.3,0.00%
, AL,Cullman County,1043,"Non-Injury, no intent classified",9,16421,1513843,1084.7,1068.1,1101.3,8.5,0.00%
, AL,Dale County,1045,Unintentional,1,435,940798,46.2,41.9,50.6,2.2,0.00%
, AL,Dale County,1045,Suicide,2,124,940798,13.2,10.9,15.5,1.2,0.00%
, AL,Dale County,1045,Homicide,3,54,940798,5.7,4.3,7.5,0.8,0.00%
, AL,Dale County,1045,Undetermined ,4,14,940798,Unreliable,0.8,2.5,0.4,0.00%
, AL,Dale County,1045,"Non-Injury, no intent classified",9,8292,940798,881.4,862.4,900.4,9.7,0.00%
, AL,Dallas County,1047,Unintentional,1,452,829613,54.5,49.5,59.5,2.6,0.00%
, AL,Dallas County,1047,Suicide,2,75,829613,9,7.1,11.3,1,0.00%
, AL,Dallas County,1047,Homicide,3,178,829613,21.5,18.3,24.6,1.6,0.00%
, AL,Dallas County,1047,Undetermined ,4,14,829613,Unreliable,0.9,2.8,0.5,0.00%
, AL,Dallas County,1047,"Non-Injury, no intent classified",9,9627,829613,1160.4,1137.2,1183.6,11.8,0.00%
, AL,DeKalb County,1049,Unintentional,1,815,1309494,62.2,58,66.5,2.2,0.00%
, AL,DeKalb County,1049,Suicide,2,183,1309494,14,12,16,1,0.00%
, AL,DeKalb County,1049,Homicide,3,52,1309494,4,3,5.2,0.6,0.00%
, AL,DeKalb County,1049,Undetermined ,4,37,1309494,2.8,2,3.9,0.5,0.00%
, AL,DeKalb County,1049,"Non-Injury, no intent classified",9,12742,1309494,973,956.2,989.9,8.6,0.00%
, AL,Elmore County,1051,Unintentional,1,704,1436208,49,45.4,52.6,1.8,0.00%
, AL,Elmore County,1051,Suicide,2,193,1436208,13.4,11.5,15.3,1,0.00%
, AL,Elmore County,1051,Homicide,3,93,1436208,6.5,5.2,7.9,0.7,0.00%
, AL,Elmore County,1051,Undetermined ,4,12,1436208,Unreliable,0.4,1.5,0.2,0.00%
, AL,Elmore County,1051,"Non-Injury, no intent classified",9,11651,1436208,811.2,796.5,826,7.5,0.00%
, AL,Escambia County,1053,Unintentional,1,461,720896,63.9,58.1,69.8,3,0.00%
, AL,Escambia County,1053,Suicide,2,94,720896,13,10.5,16,1.3,0.00%
, AL,Escambia County,1053,Homicide,3,70,720896,9.7,7.6,12.3,1.2,0.00%
, AL,Escambia County,1053,Undetermined ,4,93,720896,12.9,10.4,15.8,1.3,0.00%
, AL,Escambia County,1053,Legal Intervention / Operations of War,5,19,720896,Unreliable,1.6,4.1,0.6,0.00%
, AL,Escambia County,1053,"Non-Injury, no intent classified",9,7734,720896,1072.8,1048.9,1096.7,12.2,0.00%
, AL,Etowah County,1055,Unintentional,1,1085,1967533,55.1,51.9,58.4,1.7,0.00%
, AL,Etowah County,1055,Suicide,2,297,1967533,15.1,13.4,16.8,0.9,0.00%
, AL,Etowah County,1055,Homicide,3,144,1967533,7.3,6.1,8.5,0.6,0.00%
, AL,Etowah County,1055,Undetermined ,4,28,1967533,1.4,0.9,2.1,0.3,0.00%
, AL,Etowah County,1055,"Non-Injury, no intent classified",9,24297,1967533,1234.9,1219.4,1250.4,7.9,0.10%
, AL,Fayette County,1057,Unintentional,1,250,332986,75.1,65.8,84.4,4.7,0.00%
, AL,Fayette County,1057,Suicide,2,62,332986,18.6,14.3,23.9,2.4,0.00%
, AL,Fayette County,1057,Homicide,3,17,332986,Unreliable,3,8.2,1.2,0.00%
, AL,Fayette County,1057,"Non-Injury, no intent classified",9,4092,332986,1228.9,1191.2,1266.5,19.2,0.00%
, AL,Franklin County,1059,Unintentional,1,456,595564,76.6,69.5,83.6,3.6,0.00%
, AL,Franklin County,1059,Suicide,2,88,595564,14.8,11.9,18.2,1.6,0.00%
, AL,Franklin County,1059,Homicide,3,22,595564,3.7,2.3,5.6,0.8,0.00%
, AL,Franklin County,1059,Undetermined ,4,18,595564,Unreliable,1.8,4.8,0.7,0.00%
, AL,Franklin County,1059,"Non-Injury, no intent classified",9,6755,595564,1134.2,1107.2,1161.3,13.8,0.00%
, AL,Geneva County,1061,Unintentional,1,303,499601,60.6,53.8,67.5,3.5,0.00%
, AL,Geneva County,1061,Suicide,2,83,499601,16.6,13.2,20.6,1.8,0.00%
, AL,Geneva County,1061,Homicide,3,35,499601,7,4.9,9.7,1.2,0.00%
, AL,Geneva County,1061,"Non-Injury, no intent classified",9,5863,499601,1173.5,1143.5,1203.6,15.3,0.00%
, AL,Greene County,1063,Unintentional,1,97,175560,55.3,44.8,67.4,5.6,0.00%
, AL,Greene County,1063,Suicide,2,20,175560,11.4,7,17.6,2.5,0.00%
, AL,Greene County,1063,Homicide,3,26,175560,14.8,9.7,21.7,2.9,0.00%
, AL,Greene County,1063,"Non-Injury, no intent classified",9,1944,175560,1107.3,1058.1,1156.5,25.1,0.00%
, AL,Hale County,1065,Unintentional,1,189,307035,61.6,52.8,70.3,4.5,0.00%
, AL,Hale County,1065,Suicide,2,27,307035,8.8,5.8,12.8,1.7,0.00%
, AL,Hale County,1065,Homicide,3,38,307035,12.4,8.8,17,2,0.00%
, AL,Hale County,1065,"Non-Injury, no intent classified",9,3356,307035,1093,1056.1,1130,18.9,0.00%
, AL,Henry County,1067,Unintentional,1,161,321703,50,42.3,57.8,3.9,0.00%
, AL,Henry County,1067,Suicide,2,50,321703,15.5,11.5,20.5,2.2,0.00%
, AL,Henry County,1067,Homicide,3,25,321703,7.8,5,11.5,1.6,0.00%
, AL,Henry County,1067,"Non-Injury, no intent classified",9,3813,321703,1185.3,1147.6,1222.9,19.2,0.00%
, AL,Houston County,1069,Unintentional,1,861,1855300,46.4,43.3,49.5,1.6,0.00%
, AL,Houston County,1069,Suicide,2,210,1855300,11.3,9.8,12.8,0.8,0.00%
, AL,Houston County,1069,Homicide,3,103,1855300,5.6,4.5,6.6,0.5,0.00%
, AL,Houston County,1069,Undetermined ,4,24,1855300,1.3,0.8,1.9,0.3,0.00%
, AL,Houston County,1069,"Non-Injury, no intent classified",9,17223,1855300,928.3,914.4,942.2,7.1,0.00%
, AL,Jackson County,1071,Unintentional,1,667,1011103,66,61,71,2.6,0.00%
, AL,Jackson County,1071,Suicide,2,184,1011103,18.2,15.6,20.8,1.3,0.00%
, AL,Jackson County,1071,Homicide,3,49,1011103,4.8,3.6,6.4,0.7,0.00%
, AL,Jackson County,1071,Undetermined ,4,13,1011103,Unreliable,0.7,2.2,0.4,0.00%
, AL,Jackson County,1071,"Non-Injury, no intent classified",9,11266,1011103,1114.2,1093.7,1134.8,10.5,0.00%
, AL,Jefferson County,1073,Unintentional,1,6351,12513832,50.8,49.5,52,0.6,0.00%
, AL,Jefferson County,1073,Suicide,2,1605,12513832,12.8,12.2,13.5,0.3,0.00%
, AL,Jefferson County,1073,Homicide,3,2163,12513832,17.3,16.6,18,0.4,0.00%
, AL,Jefferson County,1073,Undetermined ,4,125,12513832,1,0.8,1.2,0.1,0.00%
, AL,Jefferson County,1073,Legal Intervention / Operations of War,5,14,12513832,Unreliable,0.1,0.2,0,0.00%
, AL,Jefferson County,1073,"Non-Injury, no intent classified",9,124761,12513832,997,991.5,1002.5,2.8,0.30%
, AL,Lamar County,1075,Unintentional,1,186,280624,66.3,56.8,75.8,4.9,0.00%
, AL,Lamar County,1075,Suicide,2,40,280624,14.3,10.2,19.4,2.3,0.00%
, AL,Lamar County,1075,"Non-Injury, no intent classified",9,3483,280624,1241.2,1199.9,1282.4,21,0.00%
, AL,Lauderdale County,1077,Unintentional,1,868,1724673,50.3,47,53.7,1.7,0.00%
, AL,Lauderdale County,1077,Suicide,2,227,1724673,13.2,11.4,14.9,0.9,0.00%
, AL,Lauderdale County,1077,Homicide,3,89,1724673,5.2,4.1,6.4,0.5,0.00%
, AL,Lauderdale County,1077,Undetermined ,4,13,1724673,Unreliable,0.4,1.3,0.2,0.00%
, AL,Lauderdale County,1077,"Non-Injury, no intent classified",9,17984,1724673,1042.7,1027.5,1058,7.8,0.00%
, AL,Lawrence County,1079,Unintentional,1,474,647747,73.2,66.6,79.8,3.4,0.00%
, AL,Lawrence County,1079,Suicide,2,110,647747,17,13.8,20.2,1.6,0.00%
, AL,Lawrence County,1079,Homicide,3,38,647747,5.9,4.2,8.1,1,0.00%
, AL,Lawrence County,1079,"Non-Injury, no intent classified",9,6513,647747,1005.5,981.1,1029.9,12.5,0.00%
, AL,Lee County,1081,Unintentional,1,812,2579698,31.5,29.3,33.6,1.1,0.00%
, AL,Lee County,1081,Suicide,2,259,2579698,10,8.8,11.3,0.6,0.00%
, AL,Lee County,1081,Homicide,3,203,2579698,7.9,6.8,9,0.6,0.00%
, AL,Lee County,1081,Undetermined ,4,20,2579698,0.8,0.5,1.2,0.2,0.00%
, AL,Lee County,1081,"Non-Injury, no intent classified",9,15482,2579698,600.1,590.7,609.6,4.8,0.00%
, AL,Limestone County,1083,Unintentional,1,666,1498773,44.4,41.1,47.8,1.7,0.00%
, AL,Limestone County,1083,Suicide,2,190,1498773,12.7,10.9,14.5,0.9,0.00%
, AL,Limestone County,1083,Homicide,3,70,1498773,4.7,3.6,5.9,0.6,0.00%
, AL,Limestone County,1083,Undetermined ,4,23,1498773,1.5,1,2.3,0.3,0.00%
, AL,Limestone County,1083,"Non-Injury, no intent classified",9,11457,1498773,764.4,750.4,778.4,7.1,0.00%
, AL,Lowndes County,1085,Unintentional,1,175,224284,78,66.5,89.6,5.9,0.00%
, AL,Lowndes County,1085,Suicide,2,16,224284,Unreliable,4.1,11.6,1.8,0.00%
, AL,Lowndes County,1085,Homicide,3,54,224284,24.1,18.1,31.4,3.3,0.00%
, AL,Lowndes County,1085,"Non-Injury, no intent classified",9,2361,224284,1052.7,1010.2,1095.1,21.7,0.00%
, AL,Macon County,1087,Unintentional,1,223,409922,54.4,47.3,61.5,3.6,0.00%
, AL,Macon County,1087,Suicide,2,33,409922,8.1,5.5,11.3,1.4,0.00%
, AL,Macon County,1087,Homicide,3,103,409922,25.1,20.3,30,2.5,0.00%
, AL,Macon County,1087,"Non-Injury, no intent classified",9,4524,409922,1103.6,1071.5,1135.8,16.4,0.00%
, AL,Madison County,1089,Unintentional,1,2243,6073525,36.9,35.4,38.5,0.8,0.00%
, AL,Madison County,1089,Suicide,2,788,6073525,13,12.1,13.9,0.5,0.00%
, AL,Madison County,1089,Homicide,3,364,6073525,6,5.4,6.6,0.3,0.00%
, AL,Madison County,1089,Undetermined ,4,56,6073525,0.9,0.7,1.2,0.1,0.00%
, AL,Madison County,1089,"Non-Injury, no intent classified",9,45150,6073525,743.4,736.5,750.2,3.5,0.10%
, AL,Marengo County,1091,Unintentional,1,252,401817,62.7,55,70.5,4,0.00%
, AL,Marengo County,1091,Suicide,2,26,401817,6.5,4.2,9.5,1.3,0.00%
, AL,Marengo County,1091,Homicide,3,36,401817,9,6.3,12.4,1.5,0.00%
, AL,Marengo County,1091,"Non-Injury, no intent classified",9,4541,401817,1130.1,1097.2,1163,16.8,0.00%
, AL,Marion County,1093,Unintentional,1,462,580989,79.5,72.3,86.8,3.7,0.00%
, AL,Marion County,1093,Suicide,2,94,580989,16.2,13.1,19.8,1.7,0.00%
, AL,Marion County,1093,Homicide,3,26,580989,4.5,2.9,6.6,0.9,0.00%
, AL,Marion County,1093,"Non-Injury, no intent classified",9,6983,580989,1201.9,1173.7,1230.1,14.4,0.00%
, AL,Marshall County,1095,Unintentional,1,971,1703998,57,53.4,60.6,1.8,0.00%
, AL,Marshall County,1095,Suicide,2,259,1703998,15.2,13.3,17.1,0.9,0.00%
, AL,Marshall County,1095,Homicide,3,56,1703998,3.3,2.5,4.3,0.4,0.00%
, AL,Marshall County,1095,Undetermined ,4,24,1703998,1.4,0.9,2.1,0.3,0.00%
, AL,Marshall County,1095,"Non-Injury, no intent classified",9,18108,1703998,1062.7,1047.2,1078.2,7.9,0.00%
, AL,Mobile County,1097,Unintentional,1,3937,7735541,50.9,49.3,52.5,0.8,0.00%
, AL,Mobile County,1097,Suicide,2,1029,7735541,13.3,12.5,14.1,0.4,0.00%
, AL,Mobile County,1097,Homicide,3,1122,7735541,14.5,13.7,15.4,0.4,0.00%
, AL,Mobile County,1097,Undetermined ,4,101,7735541,1.3,1.1,1.6,0.1,0.00%
, AL,Mobile County,1097,Legal Intervention / Operations of War,5,10,7735541,Unreliable,0.1,0.2,0,0.00%
, AL,Mobile County,1097,"Non-Injury, no intent classified",9,71530,7735541,924.7,917.9,931.5,3.5,0.10%
, AL,Monroe County,1099,Unintentional,1,254,439004,57.9,50.7,65,3.6,0.00%
, AL,Monroe County,1099,Suicide,2,53,439004,12.1,9,15.8,1.7,0.00%
, AL,Monroe County,1099,Homicide,3,46,439004,10.5,7.7,14,1.5,0.00%
, AL,Monroe County,1099,"Non-Injury, no intent classified",9,4571,439004,1041.2,1011,1071.4,15.4,0.00%
, AL,Montgomery County,1101,Unintentional,1,1541,4296734,35.9,34.1,37.7,0.9,0.00%
, AL,Montgomery County,1101,Suicide,2,445,4296734,10.4,9.4,11.3,0.5,0.00%
, AL,Montgomery County,1101,Homicide,3,699,4296734,16.3,15.1,17.5,0.6,0.00%
, AL,Montgomery County,1101,Undetermined ,4,29,4296734,0.7,0.5,1,0.1,0.00%
, AL,Montgomery County,1101,"Non-Injury, no intent classified",9,36537,4296734,850.3,841.6,859.1,4.4,0.10%
, AL,Morgan County,1103,Unintentional,1,1086,2210213,49.1,46.2,52.1,1.5,0.00%
, AL,Morgan County,1103,Suicide,2,372,2210213,16.8,15.1,18.5,0.9,0.00%
, AL,Morgan County,1103,Homicide,3,118,2210213,5.3,4.4,6.3,0.5,0.00%
, AL,Morgan County,1103,Undetermined ,4,29,2210213,1.3,0.9,1.9,0.2,0.00%
, AL,Morgan County,1103,"Non-Injury, no intent classified",9,20598,2210213,931.9,919.2,944.7,6.5,0.00%
, AL,Perry County,1105,Unintentional,1,136,202810,67.1,55.8,78.3,5.8,0.00%
, AL,Perry County,1105,Suicide,2,13,202810,Unreliable,3.4,11,1.8,0.00%
, AL,Perry County,1105,Homicide,3,24,202810,11.8,7.6,17.6,2.4,0.00%
, AL,Perry County,1105,"Non-Injury, no intent classified",9,2551,202810,1257.8,1209,1306.6,24.9,0.00%
, AL,Pickens County,1107,Unintentional,1,242,384304,63,55,70.9,4,0.00%
, AL,Pickens County,1107,Suicide,2,43,384304,11.2,8.1,15.1,1.7,0.00%
, AL,Pickens County,1107,Homicide,3,19,384304,Unreliable,3,7.7,1.1,0.00%
, AL,Pickens County,1107,"Non-Injury, no intent classified",9,4491,384304,1168.6,1134.4,1202.8,17.4,0.00%
, AL,Pike County,1109,Unintentional,1,300,603130,49.7,44.1,55.4,2.9,0.00%
, AL,Pike County,1109,Suicide,2,85,603130,14.1,11.3,17.4,1.5,0.00%
, AL,Pike County,1109,Homicide,3,48,603130,8,5.9,10.6,1.1,0.00%
, AL,Pike County,1109,"Non-Injury, no intent classified",9,5576,603130,924.5,900.2,948.8,12.4,0.00%
, AL,Randolph County,1111,Unintentional,1,294,429749,68.4,60.6,76.2,4,0.00%
, AL,Randolph County,1111,Suicide,2,80,429749,18.6,14.8,23.2,2.1,0.00%
, AL,Randolph County,1111,Homicide,3,37,429749,8.6,6.1,11.9,1.4,0.00%
, AL,Randolph County,1111,"Non-Injury, no intent classified",9,5000,429749,1163.5,1131.2,1195.7,16.5,0.00%
, AL,Russell County,1113,Unintentional,1,525,1011681,51.9,47.5,56.3,2.3,0.00%
, AL,Russell County,1113,Suicide,2,145,1011681,14.3,12,16.7,1.2,0.00%
, AL,Russell County,1113,Homicide,3,134,1011681,13.2,11,15.5,1.1,0.00%
, AL,Russell County,1113,Undetermined ,4,16,1011681,Unreliable,0.9,2.6,0.4,0.00%
, AL,Russell County,1113,"Non-Injury, no intent classified",9,10092,1011681,997.5,978.1,1017,9.9,0.00%
, AL,St. Clair County,1115,Unintentional,1,817,1482453,55.1,51.3,58.9,1.9,0.00%
, AL,St. Clair County,1115,Suicide,2,244,1482453,16.5,14.4,18.5,1.1,0.00%
, AL,St. Clair County,1115,Homicide,3,69,1482453,4.7,3.6,5.9,0.6,0.00%
, AL,St. Clair County,1115,Undetermined ,4,50,1482453,3.4,2.5,4.4,0.5,0.00%
, AL,St. Clair County,1115,"Non-Injury, no intent classified",9,13421,1482453,905.3,890,920.6,7.8,0.00%
, AL,Shelby County,1117,Unintentional,1,1413,3465592,40.8,38.6,42.9,1.1,0.00%
, AL,Shelby County,1117,Suicide,2,441,3465592,12.7,11.5,13.9,0.6,0.00%
, AL,Shelby County,1117,Homicide,3,115,3465592,3.3,2.7,3.9,0.3,0.00%
, AL,Shelby County,1117,Undetermined ,4,47,3465592,1.4,1,1.8,0.2,0.00%
, AL,Shelby County,1117,"Non-Injury, no intent classified",9,19806,3465592,571.5,563.5,579.5,4.1,0.00%
, AL,Sumter County,1119,Unintentional,1,180,263214,68.4,58.4,78.4,5.1,0.00%
, AL,Sumter County,1119,Suicide,2,13,263214,Unreliable,2.6,8.4,1.4,0.00%
, AL,Sumter County,1119,Homicide,3,31,263214,11.8,8,16.7,2.1,0.00%
, AL,Sumter County,1119,"Non-Injury, no intent classified",9,2744,263214,1042.5,1003.5,1081.5,19.9,0.00%
, AL,Talladega County,1121,Unintentional,1,867,1544702,56.1,52.4,59.9,1.9,0.00%
, AL,Talladega County,1121,Suicide,2,212,1544702,13.7,11.9,15.6,0.9,0.00%
, AL,Talladega County,1121,Homicide,3,150,1544702,9.7,8.2,11.3,0.8,0.00%
, AL,Talladega County,1121,Undetermined ,4,17,1544702,Unreliable,0.6,1.8,0.3,0.00%
, AL,Talladega County,1121,"Non-Injury, no intent classified",9,16471,1544702,1066.3,1050,1082.6,8.3,0.00%
, AL,Tallapoosa County,1123,Unintentional,1,419,783416,53.5,48.4,58.6,2.6,0.00%
, AL,Tallapoosa County,1123,Suicide,2,108,783416,13.8,11.2,16.4,1.3,0.00%
, AL,Tallapoosa County,1123,Homicide,3,67,783416,8.6,6.6,10.9,1,0.00%
, AL,Tallapoosa County,1123,Undetermined ,4,13,783416,Unreliable,0.9,2.8,0.5,0.00%
, AL,Tallapoosa County,1123,"Non-Injury, no intent classified",9,9387,783416,1198.2,1174,1222.5,12.4,0.00%
